"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00460843","2003-07-01","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0",,,"  272",",,0","  189",",,0",,,,,,,,,"  189",",,0,0700",,,"    1",",,0",,,,,,,,
"USC00460843","2003-07-02","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","  135",",,0,0700","    0","P,,0","    0","P,,0,0700","  233",",,0","  172",",,0",,,,,,,,,"  172",",,0,0700","    1",",,0",,,,,,,,,,
"USC00460843","2003-07-03","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","  132",",,0,0700","    0","P,,0","    0","P,,0,0700","  233",",,0","  167",",,0",,,,,,,,,"  172",",,0,0700","    1",",,0",,,,,,,,,,
"USC00460843","2003-07-04","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    8",",,0,0700","    0","P,,0","    0","P,,0,0700","  256",",,0","  167",",,0",,,,,,,,,"  217",",,0,0700",,,"    1",",,0",,,,,,,,
"USC00460843","2003-07-05","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  289",",,0","  167",",,0",,,,,,,,,"  217",",I,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-06","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  289",",,0","  228",",I,0",,,,,,,,,"  228",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-07","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","   66",",,0,0700","    0","P,,0","    0","P,,0,0700","  289",",,0","  178",",,0",,,,,,,,,"  194",",,0,0700",,,"    1",",,0",,,,,,,,
"USC00460843","2003-07-08","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","  122",",,0,0700","    0","P,,0","    0","P,,0,0700","  272",",,0","  172",",,0",,,,,,,,,"  217",",,0,0700",,,"    1",",,0",,,,,,,,
"USC00460843","2003-07-09","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US",,,"    0","P,,0","    0","P,,0,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00460843","2003-07-10","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US",,,"    0","P,,0","    0","P,,0,0700","  267",",,0","  183",",,0","    2",",,0",,,"  168",",,0",,,"  200",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-11","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","  147",",,0,0700","    0","P,,0","    0","P,,0,0700","  283",",,0","  178",",,0",,,,,,,,,"  189",",,0,0700",,,"    1",",,0",,,,,,,,
"USC00460843","2003-07-12","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  239",",,0","  167",",,0",,,,,,,,,"  172",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-13","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","   84",",,0,0700","    0","P,,0","    0","P,,0,0700","  239",",,0","  139",",,0",,,,,,,,,"  150",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-14","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  250",",,0","  150",",,0",,,,,,,,,"  178",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-15","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  272",",,0","  178",",,0",,,,,,,,,"  200",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-16","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","   13",",,0,0700","    0","P,,0","    0","P,,0,0700","  278",",,0","  200",",,0",,,,,,,,,"  200",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-17","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  278",",,0","  167",",,0",,,,,,,,,"  167",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-18","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  261",",,0","  161",",,0",,,,,,,,,"  189",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-19","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","  117",",,0,0700","    0","P,,0","    0","P,,0,0700","  244",",,0","  161",",,0",,,,,,,,,"  172",",,0,0700",,,"    1",",,0",,,,,,,,
"USC00460843","2003-07-20","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  244",",,0","  156",",,0",,,,,,,,,"  200",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-21","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  272",",,0","  156",",,0",,,,,,,,,"  211",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-22","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","  122",",,0,0700",,,"    0","P,,0,0700",,,"  183",",,0",,,,,,,,,"  189",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-23","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","   84",",,0,0700","    0","P,,0","    0","P,,0,0700","  250",",,0","  150",",,0",,,,,,,,,"  161",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-24","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","  206",",,0,0700","    0","P,,0","    0","P,,0,0700","  228",",,0","  133",",,0",,,,,,,,,"  133",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-25","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  228",",,0","  133",",,0",,,,,,,,,"  156",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-26","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  272",",,0","  150",",,0",,,,,,,,,"  200",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-27","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,0700","  283",",,0","  194",",,0",,,,,,,,,"  222",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-28","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","   20",",,0,0700","    0","P,,0","    0","P,,0,0700","  278",",,0","  200",",,0",,,,,,,,,"  200",",,0,0700",,,,,,,,,,,,
"USC00460843","2003-07-29","38.45694","-80.79306","655.3","BIRCH RIVER 4 SW, WV US","  221",",,0,0700","    0","P,,0","    0","P,,0,0700","  228",",,0","  161",",,0",,,,,,,,,"  172",",,0,0700",,,,,,,,,,,,
