"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1WVCB0011","2003-04-11","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   28",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-04-18","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-04-19","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-04-20","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-04-21","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-04-22","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-04-23","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-04-24","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   30",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-04-25","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","  323",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-04-26","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   10",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-04-27","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   36",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-04-28","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    3",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-04-29","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-04-30","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-02","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   61",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-03","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","  688",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-04","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-05","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-06","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-10","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US",,,,,,,"    4",",,N","  119",",,N",,,,
"US1WVCB0011","2010-05-11","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   15",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-12","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   13",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-13","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","  406",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-14","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-15","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","  234",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-16","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    5",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-17","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   81",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-18","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    8",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-19","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   10",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-20","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   10",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-21","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    5",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-22","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   79",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-05-23","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-24","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-25","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-26","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-27","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-05-28","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVCB0011","2010-06-06","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US",,,,,,,"    9",",,N","  234",",,N",,,,
"US1WVCB0011","2010-06-07","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","   89",",,N",,,,,,,,,,,,
"US1WVCB0011","2010-06-08","38.39804285","-82.4339629","267.6","HUNTINGTON 1.0 S, WV US","    0",",,N","    0",",,N",,,,,,,,,,
