"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00466952","1994-06-01","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  294",",,0","  106",",,0",,,,,,,"  228",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-02","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  283",",,0","  117",",,0",,,,,,,"  133",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-03","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  222",",,0","   39",",,0",,,,,,,"   83",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-04","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  244",",,0","   72",",,0",,,,,,,"  122",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-05","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  261",",,0","   72",",,0",,,,,,,"  172",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-06","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  294",",,0","   72",",,0",,,,,,,"  167",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-07","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  294",",,0","  167",",,0",,,,,,,"  206",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-08","38.99706","-79.1342","292.6","PETERSBURG, WV US","    3",",,0,0800","    0",",,0,","    0",",,0,","  317",",,0","  183",",,0",,,,,,,"  189",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-09","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0","T,,0,0800","    0",",,0,","    0",",,0,","  317",",,0","  106",",,0",,,,,,,"  106",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-10","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0","P,,0,0800","    0","P,,0,","    0","P,,0,","  267",",,0","  100",",,0",,,,,,,"  128",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-11","38.99706","-79.1342","292.6","PETERSBURG, WV US","   51",",,0,0800","    0",",,0,","    0","P,,0,","  267",",,0","  100",",,0",,,,,,,"  211",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-12","38.99706","-79.1342","292.6","PETERSBURG, WV US","  203",",,0,0800","    0",",,0,","    0",",,0,","  333",",,0","  100",",,0",,,,,,,"  239",",,0,0800",,,,,"    1",",,0",,,,,,,,
"USC00466952","1994-06-13","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  344",",,0","  128",",,0",,,,,,,"  183",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-14","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  356",",,0","  144",",,0",,,,,,,"  189",",,0,0800",,,,,"    1",",,0",,,,,,,,
"USC00466952","1994-06-15","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  367",",,0","  133",",,0",,,,,,,"  211",",,0,0800",,,"    1",",,0","    1",",,0",,,,,,,,
"USC00466952","1994-06-16","38.99706","-79.1342","292.6","PETERSBURG, WV US","  122",",,0,0800","    0",",,0,","    0",",,0,","  356",",,0","  183",",,0",,,,,,,"  211",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-17","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  367",",,0","  189",",,0",,,,,,,"  244",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-18","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  367",",,0","  233",",,0",,,,,,,"  244",",,0,0800",,,,,,,,,,,,,,
"USC00466952","1994-06-19","38.99706","-79.1342","292.6","PETERSBURG, WV US","    0",",,0,0800","    0",",,0,","    0",",,0,","  372",",,0","  244",",,0",,,,,,,"  256",",,0,0800",,,,,"    1",",,0",,,,,,,,
