"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1WVWD0006","2009-06-24","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-06-26","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","  127",",,N",,,,,,,,
"US1WVWD0006","2009-06-27","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","   51",",,N",,,,,,,,
"US1WVWD0006","2009-06-28","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-06-29","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-06-30","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-07-01","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","   25",",,N",,,,,,,,
"US1WVWD0006","2009-07-02","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-07-03","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-07-04","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-07-05","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-07-06","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-07-07","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-07-08","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-07-09","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVWD0006","2009-07-10","39.056649","-81.550346","325.2","ROCKPORT 1.3 SSE, WV US","    0",",,N","    0",",,N",,,,,,
